fecha,hora,ciudad,latitud,longitud,temperatura_celsius,descripcion_completa
2025-08-03,14:30:00,madrid,40.5,-3.75,36.76,Temperatura día 2025-08-03 a la hora 14:30:00 de la latitud 40.500 y longitud -3.750 : 36.76°C
2025-08-03,15:30:00,madrid,40.5,-3.75,36.63,Temperatura día 2025-08-03 a la hora 15:30:00 de la latitud 40.500 y longitud -3.750 : 36.63°C
2025-08-03,16:30:00,madrid,40.5,-3.75,36.07,Temperatura día 2025-08-03 a la hora 16:30:00 de la latitud 40.500 y longitud -3.750 : 36.07°C
2025-08-03,17:30:00,madrid,40.5,-3.75,35.16,Temperatura día 2025-08-03 a la hora 17:30:00 de la latitud 40.500 y longitud -3.750 : 35.16°C
2025-08-03,18:30:00,madrid,40.5,-3.75,33.09,Temperatura día 2025-08-03 a la hora 18:30:00 de la latitud 40.500 y longitud -3.750 : 33.09°C
2025-08-03,19:30:00,madrid,40.5,-3.75,30.02,Temperatura día 2025-08-03 a la hora 19:30:00 de la latitud 40.500 y longitud -3.750 : 30.02°C
2025-08-03,20:30:00,madrid,40.5,-3.75,28.1,Temperatura día 2025-08-03 a la hora 20:30:00 de la latitud 40.500 y longitud -3.750 : 28.10°C
2025-08-03,21:30:00,madrid,40.5,-3.75,26.94,Temperatura día 2025-08-03 a la hora 21:30:00 de la latitud 40.500 y longitud -3.750 : 26.94°C
2025-08-03,22:30:00,madrid,40.5,-3.75,25.37,Temperatura día 2025-08-03 a la hora 22:30:00 de la latitud 40.500 y longitud -3.750 : 25.37°C
2025-08-03,23:30:00,madrid,40.5,-3.75,23.6,Temperatura día 2025-08-03 a la hora 23:30:00 de la latitud 40.500 y longitud -3.750 : 23.60°C
2025-08-04,00:30:00,madrid,40.5,-3.75,22.32,Temperatura día 2025-08-04 a la hora 00:30:00 de la latitud 40.500 y longitud -3.750 : 22.32°C
2025-08-04,01:30:00,madrid,40.5,-3.75,21.38,Temperatura día 2025-08-04 a la hora 01:30:00 de la latitud 40.500 y longitud -3.750 : 21.38°C
2025-08-04,02:30:00,madrid,40.5,-3.75,20.64,Temperatura día 2025-08-04 a la hora 02:30:00 de la latitud 40.500 y longitud -3.750 : 20.64°C
2025-08-04,03:30:00,madrid,40.5,-3.75,20.04,Temperatura día 2025-08-04 a la hora 03:30:00 de la latitud 40.500 y longitud -3.750 : 20.04°C
2025-08-04,04:30:00,madrid,40.5,-3.75,19.49,Temperatura día 2025-08-04 a la hora 04:30:00 de la latitud 40.500 y longitud -3.750 : 19.49°C
2025-08-04,05:30:00,madrid,40.5,-3.75,19.53,Temperatura día 2025-08-04 a la hora 05:30:00 de la latitud 40.500 y longitud -3.750 : 19.53°C
2025-08-04,06:30:00,madrid,40.5,-3.75,21.51,Temperatura día 2025-08-04 a la hora 06:30:00 de la latitud 40.500 y longitud -3.750 : 21.51°C
2025-08-04,07:30:00,madrid,40.5,-3.75,24.14,Temperatura día 2025-08-04 a la hora 07:30:00 de la latitud 40.500 y longitud -3.750 : 24.14°C
