ciudad,fecha,hora,lat,lon,temp_celsius,temp_kelvin,descripcion
madrid,2025-08-02,14:30:00,40.5,-3.75,35.6,308.75,Temperatura día 2025-08-02 a la hora 14:30:00 de la latitud 40.500 y longitud -3.750 : 35.60°C
madrid,2025-08-02,15:30:00,40.5,-3.75,35.0,308.15,Temperatura día 2025-08-02 a la hora 15:30:00 de la latitud 40.500 y longitud -3.750 : 35.00°C
madrid,2025-08-02,16:30:00,40.5,-3.75,34.29,307.44,Temperatura día 2025-08-02 a la hora 16:30:00 de la latitud 40.500 y longitud -3.750 : 34.29°C
madrid,2025-08-02,17:30:00,40.5,-3.75,33.23,306.38,Temperatura día 2025-08-02 a la hora 17:30:00 de la latitud 40.500 y longitud -3.750 : 33.23°C
madrid,2025-08-02,18:30:00,40.5,-3.75,31.49,304.64,Temperatura día 2025-08-02 a la hora 18:30:00 de la latitud 40.500 y longitud -3.750 : 31.49°C
madrid,2025-08-02,19:30:00,40.5,-3.75,28.83,301.98,Temperatura día 2025-08-02 a la hora 19:30:00 de la latitud 40.500 y longitud -3.750 : 28.83°C
madrid,2025-08-02,20:30:00,40.5,-3.75,27.79,300.94,Temperatura día 2025-08-02 a la hora 20:30:00 de la latitud 40.500 y longitud -3.750 : 27.79°C
madrid,2025-08-02,21:30:00,40.5,-3.75,26.88,300.03,Temperatura día 2025-08-02 a la hora 21:30:00 de la latitud 40.500 y longitud -3.750 : 26.88°C
madrid,2025-08-02,22:30:00,40.5,-3.75,25.61,298.76,Temperatura día 2025-08-02 a la hora 22:30:00 de la latitud 40.500 y longitud -3.750 : 25.61°C
madrid,2025-08-02,23:30:00,40.5,-3.75,24.04,297.19,Temperatura día 2025-08-02 a la hora 23:30:00 de la latitud 40.500 y longitud -3.750 : 24.04°C
madrid,2025-08-03,00:30:00,40.5,-3.75,22.49,295.64,Temperatura día 2025-08-03 a la hora 00:30:00 de la latitud 40.500 y longitud -3.750 : 22.49°C
madrid,2025-08-03,01:30:00,40.5,-3.75,21.22,294.37,Temperatura día 2025-08-03 a la hora 01:30:00 de la latitud 40.500 y longitud -3.750 : 21.22°C
madrid,2025-08-03,02:30:00,40.5,-3.75,20.35,293.5,Temperatura día 2025-08-03 a la hora 02:30:00 de la latitud 40.500 y longitud -3.750 : 20.35°C
madrid,2025-08-03,03:30:00,40.5,-3.75,19.74,292.89,Temperatura día 2025-08-03 a la hora 03:30:00 de la latitud 40.500 y longitud -3.750 : 19.74°C
madrid,2025-08-03,04:30:00,40.5,-3.75,19.11,292.26,Temperatura día 2025-08-03 a la hora 04:30:00 de la latitud 40.500 y longitud -3.750 : 19.11°C
madrid,2025-08-03,05:30:00,40.5,-3.75,18.82,291.97,Temperatura día 2025-08-03 a la hora 05:30:00 de la latitud 40.500 y longitud -3.750 : 18.82°C
madrid,2025-08-03,06:30:00,40.5,-3.75,20.52,293.67,Temperatura día 2025-08-03 a la hora 06:30:00 de la latitud 40.500 y longitud -3.750 : 20.52°C
madrid,2025-08-03,07:30:00,40.5,-3.75,23.47,296.62,Temperatura día 2025-08-03 a la hora 07:30:00 de la latitud 40.500 y longitud -3.750 : 23.47°C
madrid,2025-08-03,08:30:00,40.5,-3.75,26.88,300.03,Temperatura día 2025-08-03 a la hora 08:30:00 de la latitud 40.500 y longitud -3.750 : 26.88°C
madrid,2025-08-03,09:30:00,40.5,-3.75,30.73,303.88,Temperatura día 2025-08-03 a la hora 09:30:00 de la latitud 40.500 y longitud -3.750 : 30.73°C
