ciudad,fecha,hora,latitud,longitud,temperatura_celsius,temperatura_kelvin,descripcion
madrid,2025-08-04,12:30:00,40.5,-3.75,36.98,310.13,Temperatura día 2025-08-04 a la hora 12:30:00 de la latitud 40.500 y longitud -3.750 : 36.98°C
madrid,2025-08-04,13:30:00,40.5,-3.75,37.76,310.91,Temperatura día 2025-08-04 a la hora 13:30:00 de la latitud 40.500 y longitud -3.750 : 37.76°C
madrid,2025-08-04,14:30:00,40.5,-3.75,38.05,311.2,Temperatura día 2025-08-04 a la hora 14:30:00 de la latitud 40.500 y longitud -3.750 : 38.05°C
madrid,2025-08-04,15:30:00,40.5,-3.75,37.98,311.13,Temperatura día 2025-08-04 a la hora 15:30:00 de la latitud 40.500 y longitud -3.750 : 37.98°C
madrid,2025-08-04,16:30:00,40.5,-3.75,37.5,310.65,Temperatura día 2025-08-04 a la hora 16:30:00 de la latitud 40.500 y longitud -3.750 : 37.50°C
madrid,2025-08-04,17:30:00,40.5,-3.75,36.51,309.66,Temperatura día 2025-08-04 a la hora 17:30:00 de la latitud 40.500 y longitud -3.750 : 36.51°C
madrid,2025-08-04,18:30:00,40.5,-3.75,33.79,306.94,Temperatura día 2025-08-04 a la hora 18:30:00 de la latitud 40.500 y longitud -3.750 : 33.79°C
madrid,2025-08-04,19:30:00,40.5,-3.75,30.32,303.47,Temperatura día 2025-08-04 a la hora 19:30:00 de la latitud 40.500 y longitud -3.750 : 30.32°C
madrid,2025-08-04,20:30:00,40.5,-3.75,29.07,302.22,Temperatura día 2025-08-04 a la hora 20:30:00 de la latitud 40.500 y longitud -3.750 : 29.07°C
madrid,2025-08-04,21:30:00,40.5,-3.75,28.24,301.39,Temperatura día 2025-08-04 a la hora 21:30:00 de la latitud 40.500 y longitud -3.750 : 28.24°C
madrid,2025-08-04,22:30:00,40.5,-3.75,27.48,300.63,Temperatura día 2025-08-04 a la hora 22:30:00 de la latitud 40.500 y longitud -3.750 : 27.48°C
madrid,2025-08-04,23:30:00,40.5,-3.75,26.63,299.78,Temperatura día 2025-08-04 a la hora 23:30:00 de la latitud 40.500 y longitud -3.750 : 26.63°C
madrid,2025-08-05,00:30:00,40.5,-3.75,25.33,298.48,Temperatura día 2025-08-05 a la hora 00:30:00 de la latitud 40.500 y longitud -3.750 : 25.33°C
madrid,2025-08-05,01:30:00,40.5,-3.75,24.07,297.22,Temperatura día 2025-08-05 a la hora 01:30:00 de la latitud 40.500 y longitud -3.750 : 24.07°C
madrid,2025-08-05,02:30:00,40.5,-3.75,22.97,296.12,Temperatura día 2025-08-05 a la hora 02:30:00 de la latitud 40.500 y longitud -3.750 : 22.97°C
madrid,2025-08-05,03:30:00,40.5,-3.75,21.96,295.11,Temperatura día 2025-08-05 a la hora 03:30:00 de la latitud 40.500 y longitud -3.750 : 21.96°C
madrid,2025-08-05,04:30:00,40.5,-3.75,21.06,294.21,Temperatura día 2025-08-05 a la hora 04:30:00 de la latitud 40.500 y longitud -3.750 : 21.06°C
madrid,2025-08-05,05:30:00,40.5,-3.75,20.97,294.12,Temperatura día 2025-08-05 a la hora 05:30:00 de la latitud 40.500 y longitud -3.750 : 20.97°C
madrid,2025-08-05,06:30:00,40.5,-3.75,23.25,296.4,Temperatura día 2025-08-05 a la hora 06:30:00 de la latitud 40.500 y longitud -3.750 : 23.25°C
madrid,2025-08-05,07:30:00,40.5,-3.75,26.16,299.31,Temperatura día 2025-08-05 a la hora 07:30:00 de la latitud 40.500 y longitud -3.750 : 26.16°C
madrid,2025-08-05,08:30:00,40.5,-3.75,29.76,302.91,Temperatura día 2025-08-05 a la hora 08:30:00 de la latitud 40.500 y longitud -3.750 : 29.76°C
madrid,2025-08-05,09:30:00,40.5,-3.75,33.61,306.76,Temperatura día 2025-08-05 a la hora 09:30:00 de la latitud 40.500 y longitud -3.750 : 33.61°C
madrid,2025-08-05,10:30:00,40.5,-3.75,36.48,309.63,Temperatura día 2025-08-05 a la hora 10:30:00 de la latitud 40.500 y longitud -3.750 : 36.48°C
madrid,2025-08-05,11:30:00,40.5,-3.75,37.84,310.99,Temperatura día 2025-08-05 a la hora 11:30:00 de la latitud 40.500 y longitud -3.750 : 37.84°C
madrid,2025-08-05,12:30:00,40.5,-3.75,38.69,311.84,Temperatura día 2025-08-05 a la hora 12:30:00 de la latitud 40.500 y longitud -3.750 : 38.69°C
